noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
plane,administrator,graduated,HIGH-MID,psychological,The administrator began to,The plane began to,The administrator graduated and began to,The plane fell and began to,The plane graduated and began to,0,VERB
mirror,uncle,danced,HIGH-MID,physical,The uncle was very,The mirror was very,The uncle danced and was very,The mirror fell and was very,The mirror danced and was very,2,ADJ
van,manager,gulped,HIGH,physical,The manager was very,The van was very,The manager gulped and was very,The van fell and was very,The van gulped and was very,2,ADJ
nightgown,tutor,yawned,HIGH,physical,The tutor started to,The nightgown started to,The tutor yawned and started to,The nightgown fell and started to,The nightgown yawned and started to,1,VERB
glass,trainer,suspected,HIGH,psychological,The trainer started to,The glass started to,The trainer suspected and started to,The glass fell and started to,The glass suspected and started to,1,VERB
cape,researcher,shuddered,HIGH-MID,physical,The researcher became very,The cape became very,The researcher shuddered and became very,The cape fell and became very,The cape shuddered and became very,3,ADJ
vase,chemist,stole,HIGH-MID,psychological,The chemist became very,The vase became very,The chemist stole and became very,The vase fell and became very,The vase stole and became very,3,ADJ
scroll,woman,suspected,HIGH,psychological,The woman began to,The scroll began to,The woman suspected and began to,The scroll fell and began to,The scroll suspected and began to,0,VERB
bagpipe,director,gazed,HIGH,physical,The director became very,The bagpipe became very,The director gazed and became very,The bagpipe fell and became very,The bagpipe gazed and became very,3,ADJ
moccasin,attorney,pissed,HIGH,physical,The attorney started to,The moccasin started to,The attorney pissed and started to,The moccasin fell and started to,The moccasin pissed and started to,1,VERB
antenna,inspector,grumbled,HIGH,physical,The inspector became very,The antenna became very,The inspector grumbled and became very,The antenna fell and became very,The antenna grumbled and became very,3,ADJ
thermometer,mediator,dined,HIGH,physical,The mediator was very,The thermometer was very,The mediator dined and was very,The thermometer fell and was very,The thermometer dined and was very,2,ADJ
street,administrator,coughed,HIGH,physical,The administrator began to,The street began to,The administrator coughed and began to,The street fell and began to,The street coughed and began to,0,VERB
screen,wife,replied,HIGH,psychological,The wife started to,The screen started to,The wife replied and started to,The screen fell and started to,The screen replied and started to,1,VERB
steak,grandson,rushed,HIGH-MID,psychological,The grandson was very,The steak was very,The grandson rushed and was very,The steak fell and was very,The steak rushed and was very,2,ADJ
jacket,priest,omitted,HIGH,physical,The priest began to,The jacket began to,The priest omitted and began to,The jacket fell and began to,The jacket omitted and began to,0,VERB
table,prime minister,volunteered,HIGH,psychological,The prime minister started to,The table started to,The prime minister volunteered and started to,The table fell and started to,The table volunteered and started to,1,VERB
bubble,grandchild,understood,HIGH,psychological,The grandchild began to,The bubble began to,The grandchild understood and began to,The bubble fell and began to,The bubble understood and began to,0,VERB
pistol,administrator,dreamed,HIGH,psychological,The administrator began to,The pistol began to,The administrator dreamed and began to,The pistol fell and began to,The pistol dreamed and began to,0,VERB
vase,detective,squinted,HIGH,physical,The detective started to,The vase started to,The detective squinted and started to,The vase fell and started to,The vase squinted and started to,1,VERB
bullet,teenager,bathed,HIGH-MID,physical,The teenager started to,The bullet started to,The teenager bathed and started to,The bullet fell and started to,The bullet bathed and started to,1,VERB
fiddle,owner,evacuated,HIGH-MID,psychological,The owner was very,The fiddle was very,The owner evacuated and was very,The fiddle fell and was very,The fiddle evacuated and was very,2,ADJ
bread,secretary of state,learnt,HIGH,psychological,The secretary of state began to,The bread began to,The secretary of state learnt and began to,The bread fell and began to,The bread learnt and began to,0,VERB
collage,founder,drank,HIGH,physical,The founder became very,The collage became very,The founder drank and became very,The collage fell and became very,The collage drank and became very,3,ADJ
typewriter,manager,disagreed,HIGH-MID,psychological,The manager began to,The typewriter began to,The manager disagreed and began to,The typewriter fell and began to,The typewriter disagreed and began to,0,VERB
furniture,chancellor,knew,HIGH,psychological,The chancellor began to,The furniture began to,The chancellor knew and began to,The furniture fell and began to,The furniture knew and began to,0,VERB
shield,granddaughter,fled,HIGH-MID,physical,The granddaughter was very,The shield was very,The granddaughter fled and was very,The shield fell and was very,The shield fled and was very,2,ADJ
bag,person,dozed,HIGH,physical,The person was very,The bag was very,The person dozed and was very,The bag fell and was very,The bag dozed and was very,2,ADJ
figure,founder,registered,MID,psychological,The founder began to,The figure began to,The founder registered and began to,The figure fell and began to,The figure registered and began to,0,VERB
bouquet,agent,spit,HIGH,physical,The agent began to,The bouquet began to,The agent spit and began to,The bouquet fell and began to,The bouquet spit and began to,0,VERB
coin,legislators,crouched,HIGH,physical,The legislators began to,The coin began to,The legislators crouched and began to,The coin fell and began to,The coin crouched and began to,0,VERB
tripod,manager,wept,HIGH,physical,The manager became very,The tripod became very,The manager wept and became very,The tripod fell and became very,The tripod wept and became very,3,ADJ
balloon,physician,fainted,HIGH,physical,The physician became very,The balloon became very,The physician fainted and became very,The balloon fell and became very,The balloon fainted and became very,3,ADJ
satchel,hunter,protested,HIGH,psychological,The hunter was very,The satchel was very,The hunter protested and was very,The satchel fell and was very,The satchel protested and was very,2,ADJ
figure,girl,hurried,HIGH,psychological,The girl began to,The figure began to,The girl hurried and began to,The figure fell and began to,The figure hurried and began to,0,VERB
propeller,pastor,staggered,HIGH-MID,physical,The pastor became very,The propeller became very,The pastor staggered and became very,The propeller fell and became very,The propeller staggered and became very,3,ADJ
plane,painter,jogged,HIGH-MID,physical,The painter was very,The plane was very,The painter jogged and was very,The plane fell and was very,The plane jogged and was very,2,ADJ
twig,teacher,fainted,HIGH,physical,The teacher started to,The twig started to,The teacher fainted and started to,The twig fell and started to,The twig fainted and started to,1,VERB
necklace,secretary,trained,HIGH-MID,psychological,The secretary became very,The necklace became very,The secretary trained and became very,The necklace fell and became very,The necklace trained and became very,3,ADJ
dress,hunter,moaned,HIGH,psychological,The hunter started to,The dress started to,The hunter moaned and started to,The dress fell and started to,The dress moaned and started to,1,VERB
leaf,tutor,spoke,HIGH,psychological,The tutor started to,The leaf started to,The tutor spoke and started to,The leaf fell and started to,The leaf spoke and started to,1,VERB
tractor,engineer,coughed,HIGH,physical,The engineer was very,The tractor was very,The engineer coughed and was very,The tractor fell and was very,The tractor coughed and was very,2,ADJ
bra,analyst,misunderstood,HIGH,psychological,The analyst started to,The bra started to,The analyst misunderstood and started to,The bra fell and started to,The bra misunderstood and started to,1,VERB
tub,coach,practised,HIGH-MID,psychological,The coach became very,The tub became very,The coach practised and became very,The tub fell and became very,The tub practised and became very,3,ADJ
hat,writer,sang,HIGH-MID,physical,The writer began to,The hat began to,The writer sang and began to,The hat fell and began to,The hat sang and began to,0,VERB
tub,minister,shrieked,HIGH-MID,physical,The minister began to,The tub began to,The minister shrieked and began to,The tub fell and began to,The tub shrieked and began to,0,VERB
boat,consultant,emigrated,HIGH,psychological,The consultant began to,The boat began to,The consultant emigrated and began to,The boat fell and began to,The boat emigrated and began to,0,VERB
sandal,designer,understood,HIGH,psychological,The designer was very,The sandal was very,The designer understood and was very,The sandal fell and was very,The sandal understood and was very,2,ADJ
balloon,buyer,meditated,HIGH,psychological,The buyer began to,The balloon began to,The buyer meditated and began to,The balloon fell and began to,The balloon meditated and began to,0,VERB
tweezers,collector,walked,HIGH,physical,The collector started to,The tweezers started to,The collector walked and started to,The tweezers fell and started to,The tweezers walked and started to,1,VERB
limousine,secretary of state,listened,HIGH,physical,The secretary of state was very,The limousine was very,The secretary of state listened and was very,The limousine fell and was very,The limousine listened and was very,2,ADJ
gown,student,blushed,HIGH,physical,The student was very,The gown was very,The student blushed and was very,The gown fell and was very,The gown blushed and was very,2,ADJ
goblet,representative,revelled,HIGH,psychological,The representative was very,The goblet was very,The representative revelled and was very,The goblet fell and was very,The goblet revelled and was very,2,ADJ
pie,host,pounced,HIGH-MID,physical,The host became very,The pie became very,The host pounced and became very,The pie fell and became very,The pie pounced and became very,3,ADJ
scroll,tutor,squinted,HIGH,physical,The tutor became very,The scroll became very,The tutor squinted and became very,The scroll fell and became very,The scroll squinted and became very,3,ADJ
fruit,operator,snored,HIGH,physical,The operator began to,The fruit began to,The operator snored and began to,The fruit fell and began to,The fruit snored and began to,0,VERB
sleigh,producer,grieved,HIGH,psychological,The producer became very,The sleigh became very,The producer grieved and became very,The sleigh fell and became very,The sleigh grieved and became very,3,ADJ
telescope,pastor,argued,HIGH-MID,psychological,The pastor became very,The telescope became very,The pastor argued and became very,The telescope fell and became very,The telescope argued and became very,3,ADJ
plank,child,complained,HIGH,psychological,The child started to,The plank started to,The child complained and started to,The plank fell and started to,The plank complained and started to,1,VERB
radio,attorney general,shivered,HIGH,physical,The attorney general started to,The radio started to,The attorney general shivered and started to,The radio fell and started to,The radio shivered and started to,1,VERB
stand,nephew,winked,HIGH-MID,physical,The nephew was very,The stand was very,The nephew winked and was very,The stand fell and was very,The stand winked and was very,2,ADJ
telescope,priest,pounced,HIGH-MID,physical,The priest was very,The telescope was very,The priest pounced and was very,The telescope fell and was very,The telescope pounced and was very,2,ADJ
figure,collector,glared,HIGH,physical,The collector began to,The figure began to,The collector glared and began to,The figure fell and began to,The figure glared and began to,0,VERB
vehicle,mediator,cheated,HIGH,psychological,The mediator started to,The vehicle started to,The mediator cheated and started to,The vehicle fell and started to,The vehicle cheated and started to,1,VERB
purse,granddaughter,howled,MID,physical,The granddaughter started to,The purse started to,The granddaughter howled and started to,The purse fell and started to,The purse howled and started to,1,VERB
pistol,uncle,volunteered,HIGH,psychological,The uncle was very,The pistol was very,The uncle volunteered and was very,The pistol fell and was very,The pistol volunteered and was very,2,ADJ
football,manufacturer,rushed,HIGH-MID,psychological,The manufacturer became very,The football became very,The manufacturer rushed and became very,The football fell and became very,The football rushed and became very,3,ADJ
violin,scout,drank,HIGH,physical,The scout began to,The violin began to,The scout drank and began to,The violin fell and began to,The violin drank and began to,0,VERB
key,person,wondered,HIGH,psychological,The person became very,The key became very,The person wondered and became very,The key fell and became very,The key wondered and became very,3,ADJ
boot,attorney,breathed,HIGH,physical,The attorney started to,The boot started to,The attorney breathed and started to,The boot fell and started to,The boot breathed and started to,1,VERB
barrel,collector,hissed,HIGH-MID,physical,The collector was very,The barrel was very,The collector hissed and was very,The barrel fell and was very,The barrel hissed and was very,2,ADJ
ski,chairman,rushed,HIGH-MID,psychological,The chairman became very,The ski became very,The chairman rushed and became very,The ski fell and became very,The ski rushed and became very,3,ADJ
bin,comedian,inhaled,HIGH,physical,The comedian was very,The bin was very,The comedian inhaled and was very,The bin fell and was very,The bin inhaled and was very,2,ADJ
bottle,owner,thought,HIGH,psychological,The owner became very,The bottle became very,The owner thought and became very,The bottle fell and became very,The bottle thought and became very,3,ADJ
wallet,pilot,wandered,HIGH-MID,physical,The pilot was very,The wallet was very,The pilot wandered and was very,The wallet fell and was very,The wallet wandered and was very,2,ADJ
ribbon,mediator,snorted,HIGH,physical,The mediator started to,The ribbon started to,The mediator snorted and started to,The ribbon fell and started to,The ribbon snorted and started to,1,VERB
canoe,chairman,emigrated,HIGH,psychological,The chairman started to,The canoe started to,The chairman emigrated and started to,The canoe fell and started to,The canoe emigrated and started to,1,VERB
napkin,fisher,waited,HIGH,psychological,The fisher began to,The napkin began to,The fisher waited and began to,The napkin fell and began to,The napkin waited and began to,0,VERB
football,legislators,shouted,HIGH,physical,The legislators started to,The football started to,The legislators shouted and started to,The football fell and started to,The football shouted and started to,1,VERB
stairs,priest,interrupted,HIGH-MID,psychological,The priest began to,The stairs began to,The priest interrupted and began to,The stairs fell and began to,The stairs interrupted and began to,0,VERB
keg,collector,answered,HIGH,psychological,The collector became very,The keg became very,The collector answered and became very,The keg fell and became very,The keg answered and became very,3,ADJ
radio,chef,shouted,HIGH,physical,The chef began to,The radio began to,The chef shouted and began to,The radio fell and began to,The radio shouted and began to,0,VERB
bomb,author,visited,HIGH,psychological,The author started to,The bomb started to,The author visited and started to,The bomb fell and started to,The bomb visited and started to,1,VERB
keg,inspector,stammered,HIGH,physical,The inspector began to,The keg began to,The inspector stammered and began to,The keg fell and began to,The keg stammered and began to,0,VERB
engine,owner,misunderstood,HIGH,psychological,The owner began to,The engine began to,The owner misunderstood and began to,The engine fell and began to,The engine misunderstood and began to,0,VERB
zipper,baker,wept,HIGH,physical,The baker was very,The zipper was very,The baker wept and was very,The zipper fell and was very,The zipper wept and was very,2,ADJ
vest,photographer,thought,HIGH,psychological,The photographer became very,The vest became very,The photographer thought and became very,The vest fell and became very,The vest thought and became very,3,ADJ
needle,dean,rambled,HIGH-MID,physical,The dean became very,The needle became very,The dean rambled and became very,The needle fell and became very,The needle rambled and became very,3,ADJ
biscuit,administrator,grunted,HIGH,physical,The administrator became very,The biscuit became very,The administrator grunted and became very,The biscuit fell and became very,The biscuit grunted and became very,3,ADJ
steak,judge,worried,HIGH-MID,psychological,The judge began to,The steak began to,The judge worried and began to,The steak fell and began to,The steak worried and began to,0,VERB
dart,painter,grunted,HIGH,physical,The painter became very,The dart became very,The painter grunted and became very,The dart fell and became very,The dart grunted and became very,3,ADJ
note,detective,begged,HIGH,psychological,The detective began to,The note began to,The detective begged and began to,The note fell and began to,The note begged and began to,0,VERB
statue,mathematician,worried,HIGH-MID,psychological,The mathematician began to,The statue began to,The mathematician worried and began to,The statue fell and began to,The statue worried and began to,0,VERB
string,cousin,muttered,HIGH,physical,The cousin was very,The string was very,The cousin muttered and was very,The string fell and was very,The string muttered and was very,2,ADJ
plane,legislators,fiddled,HIGH,physical,The legislators started to,The plane started to,The legislators fiddled and started to,The plane fell and started to,The plane fiddled and started to,1,VERB
pie,hunter,sighed,HIGH,physical,The hunter became very,The pie became very,The hunter sighed and became very,The pie fell and became very,The pie sighed and became very,3,ADJ
cane,analyst,moaned,HIGH,psychological,The analyst was very,The cane was very,The analyst moaned and was very,The cane fell and was very,The cane moaned and was very,2,ADJ
appliance,dean,searched,HIGH-MID,psychological,The dean became very,The appliance became very,The dean searched and became very,The appliance fell and became very,The appliance searched and became very,3,ADJ
magazine,manager,shuddered,HIGH-MID,physical,The manager began to,The magazine began to,The manager shuddered and began to,The magazine fell and began to,The magazine shuddered and began to,0,VERB
ship,carpenter,sang,HIGH-MID,physical,The carpenter was very,The ship was very,The carpenter sang and was very,The ship fell and was very,The ship sang and was very,2,ADJ
letter,painter,understood,HIGH,psychological,The painter was very,The letter was very,The painter understood and was very,The letter fell and was very,The letter understood and was very,2,ADJ
tripod,lawyer,thought,HIGH,psychological,The lawyer became very,The tripod became very,The lawyer thought and became very,The tripod fell and became very,The tripod thought and became very,3,ADJ
bouquet,hunter,chose,HIGH,psychological,The hunter began to,The bouquet began to,The hunter chose and began to,The bouquet fell and began to,The bouquet chose and began to,0,VERB
furniture,nephew,inhaled,HIGH,physical,The nephew started to,The furniture started to,The nephew inhaled and started to,The furniture fell and started to,The furniture inhaled and started to,1,VERB
ball,hunter,bowed,HIGH-MID,physical,The hunter became very,The ball became very,The hunter bowed and became very,The ball fell and became very,The ball bowed and became very,3,ADJ
wheel,representative,fought,HIGH-MID,psychological,The representative became very,The wheel became very,The representative fought and became very,The wheel fell and became very,The wheel fought and became very,3,ADJ
casket,wife,flushed,HIGH-MID,physical,The wife became very,The casket became very,The wife flushed and became very,The casket fell and became very,The casket flushed and became very,3,ADJ
letter,detective,mourned,HIGH-MID,psychological,The detective started to,The letter started to,The detective mourned and started to,The letter fell and started to,The letter mourned and started to,1,VERB
bomb,collector,snored,HIGH,physical,The collector became very,The bomb became very,The collector snored and became very,The bomb fell and became very,The bomb snored and became very,3,ADJ
accordion,nurse,taught,HIGH-MID,psychological,The nurse was very,The accordion was very,The nurse taught and was very,The accordion fell and was very,The accordion taught and was very,2,ADJ
tweezers,translator,shrugged,HIGH,physical,The translator began to,The tweezers began to,The translator shrugged and began to,The tweezers fell and began to,The tweezers shrugged and began to,0,VERB
helmet,collector,grumbled,HIGH,physical,The collector was very,The helmet was very,The collector grumbled and was very,The helmet fell and was very,The helmet grumbled and was very,2,ADJ
root,analyst,bled,MID,physical,The analyst became very,The root became very,The analyst bled and became very,The root fell and became very,The root bled and became very,3,ADJ
quilt,hunter,drowned,HIGH-MID,physical,The hunter became very,The quilt became very,The hunter drowned and became very,The quilt fell and became very,The quilt drowned and became very,3,ADJ
corpse,tutor,visited,HIGH,psychological,The tutor began to,The corpse began to,The tutor visited and began to,The corpse fell and began to,The corpse visited and began to,0,VERB
tablespoon,chief of staff,winced,HIGH,physical,The chief of staff began to,The tablespoon began to,The chief of staff winced and began to,The tablespoon fell and began to,The tablespoon winced and began to,0,VERB
dictionary,carpenter,talked,HIGH,psychological,The carpenter began to,The dictionary began to,The carpenter talked and began to,The dictionary fell and began to,The dictionary talked and began to,0,VERB
furniture,scout,whistled,HIGH-MID,physical,The scout was very,The furniture was very,The scout whistled and was very,The furniture fell and was very,The furniture whistled and was very,2,ADJ
football,administrator,snarled,HIGH,psychological,The administrator began to,The football began to,The administrator snarled and began to,The football fell and began to,The football snarled and began to,0,VERB
road,director,understood,HIGH,psychological,The director started to,The road started to,The director understood and started to,The road fell and started to,The road understood and started to,1,VERB
collar,chemist,wondered,HIGH,psychological,The chemist began to,The collar began to,The chemist wondered and began to,The collar fell and began to,The collar wondered and began to,0,VERB
nest,attorney,jumped,HIGH-MID,physical,The attorney started to,The nest started to,The attorney jumped and started to,The nest fell and started to,The nest jumped and started to,1,VERB
uniform,grandfather,wandered,HIGH-MID,physical,The grandfather started to,The uniform started to,The grandfather wandered and started to,The uniform fell and started to,The uniform wandered and started to,1,VERB
desk,researcher,grimaced,HIGH,physical,The researcher was very,The desk was very,The researcher grimaced and was very,The desk fell and was very,The desk grimaced and was very,2,ADJ
costume,painter,groaned,HIGH,psychological,The painter became very,The costume became very,The painter groaned and became very,The costume fell and became very,The costume groaned and became very,3,ADJ
cake,uncle,worried,HIGH-MID,psychological,The uncle started to,The cake started to,The uncle worried and started to,The cake fell and started to,The cake worried and started to,1,VERB
clock,coach,pounced,HIGH-MID,physical,The coach was very,The clock was very,The coach pounced and was very,The clock fell and was very,The clock pounced and was very,2,ADJ
desk,student,grinned,HIGH,physical,The student started to,The desk started to,The student grinned and started to,The desk fell and started to,The desk grinned and started to,1,VERB
note,owner,thought,HIGH,psychological,The owner began to,The note began to,The owner thought and began to,The note fell and began to,The note thought and began to,0,VERB
ski,minister,stumbled,HIGH,physical,The minister began to,The ski began to,The minister stumbled and began to,The ski fell and began to,The ski stumbled and began to,0,VERB
keg,pilot,gestured,HIGH,physical,The pilot began to,The keg began to,The pilot gestured and began to,The keg fell and began to,The keg gestured and began to,0,VERB
medallion,physician,registered,MID,psychological,The physician started to,The medallion started to,The physician registered and started to,The medallion fell and started to,The medallion registered and started to,1,VERB
rug,engineer,swam,MID,physical,The engineer was very,The rug was very,The engineer swam and was very,The rug fell and was very,The rug swam and was very,2,ADJ
tweezers,tutor,scowled,HIGH,psychological,The tutor became very,The tweezers became very,The tutor scowled and became very,The tweezers fell and became very,The tweezers scowled and became very,3,ADJ
wig,teenager,cried,HIGH,psychological,The teenager was very,The wig was very,The teenager cried and was very,The wig fell and was very,The wig cried and was very,2,ADJ
rope,father,consented,HIGH-MID,psychological,The father was very,The rope was very,The father consented and was very,The rope fell and was very,The rope consented and was very,2,ADJ
saxophone,scout,taught,HIGH-MID,psychological,The scout became very,The saxophone became very,The scout taught and became very,The saxophone fell and became very,The saxophone taught and became very,3,ADJ
helmet,representative,frowned,HIGH,physical,The representative began to,The helmet began to,The representative frowned and began to,The helmet fell and began to,The helmet frowned and began to,0,VERB
sun,grandfather,argued,HIGH-MID,psychological,The grandfather was very,The sun was very,The grandfather argued and was very,The sun fell and was very,The sun argued and was very,2,ADJ
pool,partner,interrupted,HIGH-MID,psychological,The partner became very,The pool became very,The partner interrupted and became very,The pool fell and became very,The pool interrupted and became very,3,ADJ
spoon,mother,cried,HIGH,psychological,The mother began to,The spoon began to,The mother cried and began to,The spoon fell and began to,The spoon cried and began to,0,VERB
dish,associate,dined,HIGH,physical,The associate became very,The dish became very,The associate dined and became very,The dish fell and became very,The dish dined and became very,3,ADJ
stairs,scout,wondered,HIGH,psychological,The scout started to,The stairs started to,The scout wondered and started to,The stairs fell and started to,The stairs wondered and started to,1,VERB
bomb,granddaughter,cheated,HIGH,psychological,The granddaughter began to,The bomb began to,The granddaughter cheated and began to,The bomb fell and began to,The bomb cheated and began to,0,VERB
dart,man,snored,HIGH,physical,The man started to,The dart started to,The man snored and started to,The dart fell and started to,The dart snored and started to,1,VERB
ship,chairman,read,HIGH,psychological,The chairman became very,The ship became very,The chairman read and became very,The ship fell and became very,The ship read and became very,3,ADJ
tractor,buyer,clapped,HIGH,physical,The buyer began to,The tractor began to,The buyer clapped and began to,The tractor fell and began to,The tractor clapped and began to,0,VERB
oven,counsel,squatted,HIGH,physical,The counsel became very,The oven became very,The counsel squatted and became very,The oven fell and became very,The oven squatted and became very,3,ADJ
rope,grandfather,fumbled,HIGH,physical,The grandfather was very,The rope was very,The grandfather fumbled and was very,The rope fell and was very,The rope fumbled and was very,2,ADJ
broom,person,struggled,HIGH-MID,psychological,The person became very,The broom became very,The person struggled and became very,The broom fell and became very,The broom struggled and became very,3,ADJ
leaf,father,volunteered,HIGH,psychological,The father became very,The leaf became very,The father volunteered and became very,The leaf fell and became very,The leaf volunteered and became very,3,ADJ
basket,partner,grumbled,HIGH,physical,The partner became very,The basket became very,The partner grumbled and became very,The basket fell and became very,The basket grumbled and became very,3,ADJ
banner,dean,laughed,HIGH,physical,The dean started to,The banner started to,The dean laughed and started to,The banner fell and started to,The banner laughed and started to,1,VERB
road,architect,shrieked,HIGH-MID,physical,The architect began to,The road began to,The architect shrieked and began to,The road fell and began to,The road shrieked and began to,0,VERB
harp,man,fumbled,HIGH,physical,The man began to,The harp began to,The man fumbled and began to,The harp fell and began to,The harp fumbled and began to,0,VERB
jar,author,lamented,HIGH,psychological,The author was very,The jar was very,The author lamented and was very,The jar fell and was very,The jar lamented and was very,2,ADJ
clock,teenager,begged,HIGH,psychological,The teenager started to,The clock started to,The teenager begged and started to,The clock fell and started to,The clock begged and started to,1,VERB
pearl,apprentice,shrieked,HIGH-MID,physical,The apprentice was very,The pearl was very,The apprentice shrieked and was very,The pearl fell and was very,The pearl shrieked and was very,2,ADJ
horn,uncle,grimaced,HIGH,physical,The uncle became very,The horn became very,The uncle grimaced and became very,The horn fell and became very,The horn grimaced and became very,3,ADJ
photograph,aunt,grumbled,HIGH,physical,The aunt became very,The photograph became very,The aunt grumbled and became very,The photograph fell and became very,The photograph grumbled and became very,3,ADJ
whistle,secretary,cursed,HIGH,psychological,The secretary was very,The whistle was very,The secretary cursed and was very,The whistle fell and was very,The whistle cursed and was very,2,ADJ
box,grandfather,yawned,HIGH,physical,The grandfather started to,The box started to,The grandfather yawned and started to,The box fell and started to,The box yawned and started to,1,VERB
spoon,man,watched,HIGH,physical,The man became very,The spoon became very,The man watched and became very,The spoon fell and became very,The spoon watched and became very,3,ADJ
chair,sailor,registered,MID,psychological,The sailor started to,The chair started to,The sailor registered and started to,The chair fell and started to,The chair registered and started to,1,VERB
sculpture,psychologist,moaned,HIGH,psychological,The psychologist was very,The sculpture was very,The psychologist moaned and was very,The sculpture fell and was very,The sculpture moaned and was very,2,ADJ
painting,associate,sniffed,HIGH,physical,The associate became very,The painting became very,The associate sniffed and became very,The painting fell and became very,The painting sniffed and became very,3,ADJ
newspaper,prime minister,graduated,HIGH-MID,psychological,The prime minister became very,The newspaper became very,The prime minister graduated and became very,The newspaper fell and became very,The newspaper graduated and became very,3,ADJ
string,scout,cursed,HIGH,psychological,The scout was very,The string was very,The scout cursed and was very,The string fell and was very,The string cursed and was very,2,ADJ
train,author,sat,HIGH,physical,The author started to,The train started to,The author sat and started to,The train fell and started to,The train sat and started to,1,VERB
hat,lawyer,paid,HIGH-MID,psychological,The lawyer became very,The hat became very,The lawyer paid and became very,The hat fell and became very,The hat paid and became very,3,ADJ
piano,comedian,paced,HIGH,physical,The comedian was very,The piano was very,The comedian paced and was very,The piano fell and was very,The piano paced and was very,2,ADJ
typewriter,grandfather,howled,MID,physical,The grandfather became very,The typewriter became very,The grandfather howled and became very,The typewriter fell and became very,The typewriter howled and became very,3,ADJ
box,grandfather,spit,HIGH,physical,The grandfather became very,The box became very,The grandfather spit and became very,The box fell and became very,The box spit and became very,3,ADJ
limousine,person,breathed,HIGH,physical,The person became very,The limousine became very,The person breathed and became very,The limousine fell and became very,The limousine breathed and became very,3,ADJ
shield,associate,guessed,HIGH,psychological,The associate began to,The shield began to,The associate guessed and began to,The shield fell and began to,The shield guessed and began to,0,VERB
hammer,mediator,insisted,HIGH-MID,psychological,The mediator was very,The hammer was very,The mediator insisted and was very,The hammer fell and was very,The hammer insisted and was very,2,ADJ
bin,editor,nodded,HIGH,physical,The editor was very,The bin was very,The editor nodded and was very,The bin fell and was very,The bin nodded and was very,2,ADJ
pencil,administrator,dozed,HIGH,physical,The administrator started to,The pencil started to,The administrator dozed and started to,The pencil fell and started to,The pencil dozed and started to,1,VERB
wig,attorney,insisted,HIGH-MID,psychological,The attorney started to,The wig started to,The attorney insisted and started to,The wig fell and started to,The wig insisted and started to,1,VERB
stove,teenager,shaved,HIGH,physical,The teenager was very,The stove was very,The teenager shaved and was very,The stove fell and was very,The stove shaved and was very,2,ADJ
knife,priest,yelled,HIGH,physical,The priest began to,The knife began to,The priest yelled and began to,The knife fell and began to,The knife yelled and began to,0,VERB
football,barber,murmured,HIGH,physical,The barber started to,The football started to,The barber murmured and started to,The football fell and started to,The football murmured and started to,1,VERB
plate,assistant,dozed,HIGH,physical,The assistant began to,The plate began to,The assistant dozed and began to,The plate fell and began to,The plate dozed and began to,0,VERB
tie,painter,laughed,HIGH,physical,The painter was very,The tie was very,The painter laughed and was very,The tie fell and was very,The tie laughed and was very,2,ADJ
chocolate,mathematician,drawled,HIGH,physical,The mathematician became very,The chocolate became very,The mathematician drawled and became very,The chocolate fell and became very,The chocolate drawled and became very,3,ADJ
shawl,chief of staff,applauded,HIGH-MID,psychological,The chief of staff began to,The shawl began to,The chief of staff applauded and began to,The shawl fell and began to,The shawl applauded and began to,0,VERB
coffin,cousin,groaned,HIGH,psychological,The cousin started to,The coffin started to,The cousin groaned and started to,The coffin fell and started to,The coffin groaned and started to,1,VERB
instrument,chairman,coughed,HIGH,physical,The chairman started to,The instrument started to,The chairman coughed and started to,The instrument fell and started to,The instrument coughed and started to,1,VERB
screen,scout,wept,HIGH,physical,The scout became very,The screen became very,The scout wept and became very,The screen fell and became very,The screen wept and became very,3,ADJ
costume,grandson,wandered,HIGH-MID,physical,The grandson started to,The costume started to,The grandson wandered and started to,The costume fell and started to,The costume wandered and started to,1,VERB
football,nephew,giggled,HIGH,physical,The nephew began to,The football began to,The nephew giggled and began to,The football fell and began to,The football giggled and began to,0,VERB
mine,collector,retired,HIGH,psychological,The collector was very,The mine was very,The collector retired and was very,The mine fell and was very,The mine retired and was very,2,ADJ
dress,prime minister,pounced,HIGH-MID,physical,The prime minister was very,The dress was very,The prime minister pounced and was very,The dress fell and was very,The dress pounced and was very,2,ADJ
submarine,associate,hurried,HIGH,psychological,The associate was very,The submarine was very,The associate hurried and was very,The submarine fell and was very,The submarine hurried and was very,2,ADJ
tube,mediator,shouted,HIGH,physical,The mediator started to,The tube started to,The mediator shouted and started to,The tube fell and started to,The tube shouted and started to,1,VERB
dime,journalist,consented,HIGH-MID,psychological,The journalist was very,The dime was very,The journalist consented and was very,The dime fell and was very,The dime consented and was very,2,ADJ
column,student,stole,HIGH-MID,psychological,The student was very,The column was very,The student stole and was very,The column fell and was very,The column stole and was very,2,ADJ
moccasin,mother,read,HIGH,psychological,The mother became very,The moccasin became very,The mother read and became very,The moccasin fell and became very,The moccasin read and became very,3,ADJ
candle,wife,hurried,HIGH,psychological,The wife started to,The candle started to,The wife hurried and started to,The candle fell and started to,The candle hurried and started to,1,VERB
