noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
pen,woman,waited,HIGH,psychological,The woman started to,The pen started to,"After it waited, the woman started to","After it fell, the pen started to","After it waited, the pen started to",1,VERB
balloon,girl,gazed,HIGH,physical,The girl began to,The balloon began to,"After it gazed, the girl began to","After it fell, the balloon began to","After it gazed, the balloon began to",0,VERB
stove,girl,spoke,HIGH,psychological,The girl became very,The stove became very,"After it spoke, the girl became very","After it fell, the stove became very","After it spoke, the stove became very",3,ADJ
pool,man,groaned,HIGH,psychological,The man began to,The pool began to,"After it groaned, the man began to","After it fell, the pool began to","After it groaned, the pool began to",0,VERB
trumpet,woman,fumbled,HIGH,physical,The woman was very,The trumpet was very,"After it fumbled, the woman was very","After it fell, the trumpet was very","After it fumbled, the trumpet was very",2,ADJ
pool,man,frowned,HIGH,physical,The man was very,The pool was very,"After it frowned, the man was very","After it fell, the pool was very","After it frowned, the pool was very",2,ADJ
horn,boy,disagreed,HIGH-MID,psychological,The boy became very,The horn became very,"After it disagreed, the boy became very","After it fell, the horn became very","After it disagreed, the horn became very",3,ADJ
battery,woman,shrugged,HIGH,physical,The woman was very,The battery was very,"After it shrugged, the woman was very","After it fell, the battery was very","After it shrugged, the battery was very",2,ADJ
ferry,girl,laughed,HIGH,physical,The girl started to,The ferry started to,"After it laughed, the girl started to","After it fell, the ferry started to","After it laughed, the ferry started to",1,VERB
stage,boy,understood,HIGH,psychological,The boy became very,The stage became very,"After it understood, the boy became very","After it fell, the stage became very","After it understood, the stage became very",3,ADJ
flask,boy,sat,HIGH,physical,The boy was very,The flask was very,"After it sat, the boy was very","After it fell, the flask was very","After it sat, the flask was very",2,ADJ
cannon,person,coughed,HIGH,physical,The person became very,The cannon became very,"After it coughed, the person became very","After it fell, the cannon became very","After it coughed, the cannon became very",3,ADJ
glove,girl,cried,HIGH,psychological,The girl began to,The glove began to,"After it cried, the girl began to","After it fell, the glove began to","After it cried, the glove began to",0,VERB
shield,boy,shouted,HIGH,physical,The boy was very,The shield was very,"After it shouted, the boy was very","After it fell, the shield was very","After it shouted, the shield was very",2,ADJ
spoon,child,emigrated,HIGH,psychological,The child became very,The spoon became very,"After it emigrated, the child became very","After it fell, the spoon became very","After it emigrated, the spoon became very",3,ADJ
clothing,person,commented,HIGH-MID,psychological,The person began to,The clothing began to,"After it commented, the person began to","After it fell, the clothing began to","After it commented, the clothing began to",0,VERB
sleigh,child,swore,HIGH,psychological,The child began to,The sleigh began to,"After it swore, the child began to","After it fell, the sleigh began to","After it swore, the sleigh began to",0,VERB
nest,girl,yelled,HIGH,physical,The girl started to,The nest started to,"After it yelled, the girl started to","After it fell, the nest started to","After it yelled, the nest started to",1,VERB
banner,woman,hastened,HIGH-MID,psychological,The woman became very,The banner became very,"After it hastened, the woman became very","After it fell, the banner became very","After it hastened, the banner became very",3,ADJ
clarinet,man,revelled,HIGH,psychological,The man was very,The clarinet was very,"After it revelled, the man was very","After it fell, the clarinet was very","After it revelled, the clarinet was very",2,ADJ
universe,man,commented,HIGH-MID,psychological,The man became very,The universe became very,"After it commented, the man became very","After it fell, the universe became very","After it commented, the universe became very",3,ADJ
watch,boy,interrupted,HIGH-MID,psychological,The boy started to,The watch started to,"After it interrupted, the boy started to","After it fell, the watch started to","After it interrupted, the watch started to",1,VERB
axe,man,snarled,HIGH,psychological,The man started to,The axe started to,"After it snarled, the man started to","After it fell, the axe started to","After it snarled, the axe started to",1,VERB
penny,girl,giggled,HIGH,physical,The girl began to,The penny began to,"After it giggled, the girl began to","After it fell, the penny began to","After it giggled, the penny began to",0,VERB
tray,woman,snorted,HIGH,physical,The woman was very,The tray was very,"After it snorted, the woman was very","After it fell, the tray was very","After it snorted, the tray was very",2,ADJ
goblet,boy,listened,HIGH,physical,The boy started to,The goblet started to,"After it listened, the boy started to","After it fell, the goblet started to","After it listened, the goblet started to",1,VERB
wallet,woman,ate,HIGH,physical,The woman began to,The wallet began to,"After it ate, the woman began to","After it fell, the wallet began to","After it ate, the wallet began to",0,VERB
string,child,mourned,HIGH-MID,psychological,The child was very,The string was very,"After it mourned, the child was very","After it fell, the string was very","After it mourned, the string was very",2,ADJ
glass,woman,inhaled,HIGH,physical,The woman began to,The glass began to,"After it inhaled, the woman began to","After it fell, the glass began to","After it inhaled, the glass began to",0,VERB
arrow,man,cried,HIGH,psychological,The man became very,The arrow became very,"After it cried, the man became very","After it fell, the arrow became very","After it cried, the arrow became very",3,ADJ
tub,man,bellowed,HIGH,physical,The man became very,The tub became very,"After it bellowed, the man became very","After it fell, the tub became very","After it bellowed, the tub became very",3,ADJ
jacket,girl,gazed,HIGH,physical,The girl began to,The jacket began to,"After it gazed, the girl began to","After it fell, the jacket began to","After it gazed, the jacket began to",0,VERB
violin,person,clapped,HIGH,physical,The person was very,The violin was very,"After it clapped, the person was very","After it fell, the violin was very","After it clapped, the violin was very",2,ADJ
basket,girl,bathed,HIGH-MID,physical,The girl became very,The basket became very,"After it bathed, the girl became very","After it fell, the basket became very","After it bathed, the basket became very",3,ADJ
shoe,girl,glared,HIGH,physical,The girl was very,The shoe was very,"After it glared, the girl was very","After it fell, the shoe was very","After it glared, the shoe was very",2,ADJ
branch,child,limped,HIGH-MID,physical,The child began to,The branch began to,"After it limped, the child began to","After it fell, the branch began to","After it limped, the branch began to",0,VERB
newspaper,man,bellowed,HIGH,physical,The man was very,The newspaper was very,"After it bellowed, the man was very","After it fell, the newspaper was very","After it bellowed, the newspaper was very",2,ADJ
bread,person,invested,MID,psychological,The person began to,The bread began to,"After it invested, the person began to","After it fell, the bread began to","After it invested, the bread began to",0,VERB
ticket,man,waved,HIGH,physical,The man was very,The ticket was very,"After it waved, the man was very","After it fell, the ticket was very","After it waved, the ticket was very",2,ADJ
saxophone,woman,meditated,HIGH,psychological,The woman started to,The saxophone started to,"After it meditated, the woman started to","After it fell, the saxophone started to","After it meditated, the saxophone started to",1,VERB
corpse,child,squinted,HIGH,physical,The child began to,The corpse began to,"After it squinted, the child began to","After it fell, the corpse began to","After it squinted, the corpse began to",0,VERB
dart,girl,conceded,HIGH-MID,psychological,The girl began to,The dart began to,"After it conceded, the girl began to","After it fell, the dart began to","After it conceded, the dart began to",0,VERB
flask,man,fumbled,HIGH,physical,The man was very,The flask was very,"After it fumbled, the man was very","After it fell, the flask was very","After it fumbled, the flask was very",2,ADJ
clothing,boy,registered,MID,psychological,The boy started to,The clothing started to,"After it registered, the boy started to","After it fell, the clothing started to","After it registered, the clothing started to",1,VERB
nest,girl,forgot,HIGH,psychological,The girl started to,The nest started to,"After it forgot, the girl started to","After it fell, the nest started to","After it forgot, the nest started to",1,VERB
corpse,girl,dreamed,HIGH,psychological,The girl was very,The corpse was very,"After it dreamed, the girl was very","After it fell, the corpse was very","After it dreamed, the corpse was very",2,ADJ
suit,woman,squinted,HIGH,physical,The woman began to,The suit began to,"After it squinted, the woman began to","After it fell, the suit began to","After it squinted, the suit began to",0,VERB
hammer,girl,stared,HIGH,physical,The girl began to,The hammer began to,"After it stared, the girl began to","After it fell, the hammer began to","After it stared, the hammer began to",0,VERB
engine,woman,watched,HIGH,physical,The woman started to,The engine started to,"After it watched, the woman started to","After it fell, the engine started to","After it watched, the engine started to",1,VERB
car,child,giggled,HIGH,physical,The child became very,The car became very,"After it giggled, the child became very","After it fell, the car became very","After it giggled, the car became very",3,ADJ
glass,girl,misunderstood,HIGH,psychological,The girl became very,The glass became very,"After it misunderstood, the girl became very","After it fell, the glass became very","After it misunderstood, the glass became very",3,ADJ
hair,man,voted,MID,psychological,The man became very,The hair became very,"After it voted, the man became very","After it fell, the hair became very","After it voted, the hair became very",3,ADJ
satchel,girl,studied,HIGH-MID,psychological,The girl started to,The satchel started to,"After it studied, the girl started to","After it fell, the satchel started to","After it studied, the satchel started to",1,VERB
shoe,person,struggled,HIGH-MID,psychological,The person started to,The shoe started to,"After it struggled, the person started to","After it fell, the shoe started to","After it struggled, the shoe started to",1,VERB
pie,boy,guessed,HIGH,psychological,The boy started to,The pie started to,"After it guessed, the boy started to","After it fell, the pie started to","After it guessed, the pie started to",1,VERB
lamp,person,stammered,HIGH,physical,The person started to,The lamp started to,"After it stammered, the person started to","After it fell, the lamp started to","After it stammered, the lamp started to",1,VERB
trombone,boy,argued,HIGH-MID,psychological,The boy began to,The trombone began to,"After it argued, the boy began to","After it fell, the trombone began to","After it argued, the trombone began to",0,VERB
door,boy,grumbled,HIGH,physical,The boy was very,The door was very,"After it grumbled, the boy was very","After it fell, the door was very","After it grumbled, the door was very",2,ADJ
bomb,woman,sang,HIGH-MID,physical,The woman started to,The bomb started to,"After it sang, the woman started to","After it fell, the bomb started to","After it sang, the bomb started to",1,VERB
keg,child,hastened,HIGH-MID,psychological,The child became very,The keg became very,"After it hastened, the child became very","After it fell, the keg became very","After it hastened, the keg became very",3,ADJ
nest,girl,shivered,HIGH,physical,The girl began to,The nest began to,"After it shivered, the girl began to","After it fell, the nest began to","After it shivered, the nest began to",0,VERB
rifle,man,married,HIGH,psychological,The man was very,The rifle was very,"After it married, the man was very","After it fell, the rifle was very","After it married, the rifle was very",2,ADJ
sleigh,girl,grinned,HIGH,physical,The girl started to,The sleigh started to,"After it grinned, the girl started to","After it fell, the sleigh started to","After it grinned, the sleigh started to",1,VERB
glass,girl,drank,HIGH,physical,The girl started to,The glass started to,"After it drank, the girl started to","After it fell, the glass started to","After it drank, the glass started to",1,VERB
bandage,child,jumped,HIGH-MID,physical,The child started to,The bandage started to,"After it jumped, the child started to","After it fell, the bandage started to","After it jumped, the bandage started to",1,VERB
instrument,man,nodded,HIGH,physical,The man started to,The instrument started to,"After it nodded, the man started to","After it fell, the instrument started to","After it nodded, the instrument started to",1,VERB
barrel,girl,blushed,HIGH,physical,The girl became very,The barrel became very,"After it blushed, the girl became very","After it fell, the barrel became very","After it blushed, the barrel became very",3,ADJ
biscuit,child,searched,HIGH-MID,psychological,The child started to,The biscuit started to,"After it searched, the child started to","After it fell, the biscuit started to","After it searched, the biscuit started to",1,VERB
pearl,girl,swam,MID,physical,The girl became very,The pearl became very,"After it swam, the girl became very","After it fell, the pearl became very","After it swam, the pearl became very",3,ADJ
harp,man,chuckled,HIGH,physical,The man was very,The harp was very,"After it chuckled, the man was very","After it fell, the harp was very","After it chuckled, the harp was very",2,ADJ
shield,child,stepped,HIGH,physical,The child started to,The shield started to,"After it stepped, the child started to","After it fell, the shield started to","After it stepped, the shield started to",1,VERB
cannon,girl,growled,HIGH,physical,The girl became very,The cannon became very,"After it growled, the girl became very","After it fell, the cannon became very","After it growled, the cannon became very",3,ADJ
collar,girl,studied,HIGH-MID,psychological,The girl was very,The collar was very,"After it studied, the girl was very","After it fell, the collar was very","After it studied, the collar was very",2,ADJ
cake,person,slept,HIGH,physical,The person became very,The cake became very,"After it slept, the person became very","After it fell, the cake became very","After it slept, the cake became very",3,ADJ
painting,person,pissed,HIGH,physical,The person started to,The painting started to,"After it pissed, the person started to","After it fell, the painting started to","After it pissed, the painting started to",1,VERB
bed,girl,grumbled,HIGH,physical,The girl started to,The bed started to,"After it grumbled, the girl started to","After it fell, the bed started to","After it grumbled, the bed started to",1,VERB
coat,girl,pled,HIGH,psychological,The girl became very,The coat became very,"After it pled, the girl became very","After it fell, the coat became very","After it pled, the coat became very",3,ADJ
mallet,person,applauded,HIGH-MID,psychological,The person started to,The mallet started to,"After it applauded, the person started to","After it fell, the mallet started to","After it applauded, the mallet started to",1,VERB
bomb,child,jumped,HIGH-MID,physical,The child started to,The bomb started to,"After it jumped, the child started to","After it fell, the bomb started to","After it jumped, the bomb started to",1,VERB
pillow,girl,crouched,HIGH,physical,The girl began to,The pillow began to,"After it crouched, the girl began to","After it fell, the pillow began to","After it crouched, the pillow began to",0,VERB
pen,woman,married,HIGH,psychological,The woman was very,The pen was very,"After it married, the woman was very","After it fell, the pen was very","After it married, the pen was very",2,ADJ
rock,boy,starved,HIGH,physical,The boy was very,The rock was very,"After it starved, the boy was very","After it fell, the rock was very","After it starved, the rock was very",2,ADJ
wallet,girl,bowed,HIGH-MID,physical,The girl started to,The wallet started to,"After it bowed, the girl started to","After it fell, the wallet started to","After it bowed, the wallet started to",1,VERB
camera,man,preached,HIGH,psychological,The man became very,The camera became very,"After it preached, the man became very","After it fell, the camera became very","After it preached, the camera became very",3,ADJ
rock,person,dozed,HIGH,physical,The person became very,The rock became very,"After it dozed, the person became very","After it fell, the rock became very","After it dozed, the rock became very",3,ADJ
bed,boy,dreamed,HIGH,psychological,The boy started to,The bed started to,"After it dreamed, the boy started to","After it fell, the bed started to","After it dreamed, the bed started to",1,VERB
submarine,person,spit,HIGH,physical,The person was very,The submarine was very,"After it spit, the person was very","After it fell, the submarine was very","After it spit, the submarine was very",2,ADJ
fruit,man,coughed,HIGH,physical,The man was very,The fruit was very,"After it coughed, the man was very","After it fell, the fruit was very","After it coughed, the fruit was very",2,ADJ
fiddle,child,waited,HIGH,psychological,The child became very,The fiddle became very,"After it waited, the child became very","After it fell, the fiddle became very","After it waited, the fiddle became very",3,ADJ
scissors,man,nodded,HIGH,physical,The man started to,The scissors started to,"After it nodded, the man started to","After it fell, the scissors started to","After it nodded, the scissors started to",1,VERB
blouse,woman,barked,MID,physical,The woman was very,The blouse was very,"After it barked, the woman was very","After it fell, the blouse was very","After it barked, the blouse was very",2,ADJ
stick,man,argued,HIGH-MID,psychological,The man began to,The stick began to,"After it argued, the man began to","After it fell, the stick began to","After it argued, the stick began to",0,VERB
hose,boy,inhaled,HIGH,physical,The boy started to,The hose started to,"After it inhaled, the boy started to","After it fell, the hose started to","After it inhaled, the hose started to",1,VERB
boot,child,giggled,HIGH,physical,The child became very,The boot became very,"After it giggled, the child became very","After it fell, the boot became very","After it giggled, the boot became very",3,ADJ
tripod,girl,frowned,HIGH,physical,The girl began to,The tripod began to,"After it frowned, the girl began to","After it fell, the tripod began to","After it frowned, the tripod began to",0,VERB
car,child,ate,HIGH,physical,The child was very,The car was very,"After it ate, the child was very","After it fell, the car was very","After it ate, the car was very",2,ADJ
mine,child,shuddered,HIGH-MID,physical,The child was very,The mine was very,"After it shuddered, the child was very","After it fell, the mine was very","After it shuddered, the mine was very",2,ADJ
bullet,girl,flushed,HIGH-MID,physical,The girl began to,The bullet began to,"After it flushed, the girl began to","After it fell, the bullet began to","After it flushed, the bullet began to",0,VERB
shoe,child,chuckled,HIGH,physical,The child began to,The shoe began to,"After it chuckled, the child began to","After it fell, the shoe began to","After it chuckled, the shoe began to",0,VERB
bag,child,waited,HIGH,psychological,The child started to,The bag started to,"After it waited, the child started to","After it fell, the bag started to","After it waited, the bag started to",1,VERB
sock,man,laughed,HIGH,physical,The man became very,The sock became very,"After it laughed, the man became very","After it fell, the sock became very","After it laughed, the sock became very",3,ADJ
jacket,child,fiddled,HIGH,physical,The child began to,The jacket began to,"After it fiddled, the child began to","After it fell, the jacket began to","After it fiddled, the jacket began to",0,VERB
tie,person,stepped,HIGH,physical,The person became very,The tie became very,"After it stepped, the person became very","After it fell, the tie became very","After it stepped, the tie became very",3,ADJ
jacket,man,fainted,HIGH,physical,The man was very,The jacket was very,"After it fainted, the man was very","After it fell, the jacket was very","After it fainted, the jacket was very",2,ADJ
table,person,fled,HIGH-MID,physical,The person began to,The table began to,"After it fled, the person began to","After it fell, the table began to","After it fled, the table began to",0,VERB
hailstone,child,breathed,HIGH,physical,The child was very,The hailstone was very,"After it breathed, the child was very","After it fell, the hailstone was very","After it breathed, the hailstone was very",2,ADJ
moccasin,boy,noticed,HIGH,psychological,The boy began to,The moccasin began to,"After it noticed, the boy began to","After it fell, the moccasin began to","After it noticed, the moccasin began to",0,VERB
ambulance,girl,packed,HIGH-MID,physical,The girl became very,The ambulance became very,"After it packed, the girl became very","After it fell, the ambulance became very","After it packed, the ambulance became very",3,ADJ
chair,person,argued,HIGH-MID,psychological,The person became very,The chair became very,"After it argued, the person became very","After it fell, the chair became very","After it argued, the chair became very",3,ADJ
bag,boy,whistled,HIGH-MID,physical,The boy became very,The bag became very,"After it whistled, the boy became very","After it fell, the bag became very","After it whistled, the bag became very",3,ADJ
glove,man,pursued,HIGH-MID,psychological,The man started to,The glove started to,"After it pursued, the man started to","After it fell, the glove started to","After it pursued, the glove started to",1,VERB
lantern,person,frowned,HIGH,physical,The person began to,The lantern began to,"After it frowned, the person began to","After it fell, the lantern began to","After it frowned, the lantern began to",0,VERB
ring,man,dozed,HIGH,physical,The man started to,The ring started to,"After it dozed, the man started to","After it fell, the ring started to","After it dozed, the ring started to",1,VERB
branch,boy,studied,HIGH-MID,psychological,The boy started to,The branch started to,"After it studied, the boy started to","After it fell, the branch started to","After it studied, the branch started to",1,VERB
dictionary,girl,practised,HIGH-MID,psychological,The girl began to,The dictionary began to,"After it practised, the girl began to","After it fell, the dictionary began to","After it practised, the dictionary began to",0,VERB
statue,girl,ducked,HIGH,physical,The girl started to,The statue started to,"After it ducked, the girl started to","After it fell, the statue started to","After it ducked, the statue started to",1,VERB
hose,child,crouched,HIGH,physical,The child was very,The hose was very,"After it crouched, the child was very","After it fell, the hose was very","After it crouched, the hose was very",2,ADJ
bell,woman,gazed,HIGH,physical,The woman was very,The bell was very,"After it gazed, the woman was very","After it fell, the bell was very","After it gazed, the bell was very",2,ADJ
bubble,child,squatted,HIGH,physical,The child began to,The bubble began to,"After it squatted, the child began to","After it fell, the bubble began to","After it squatted, the bubble began to",0,VERB
bed,girl,howled,MID,physical,The girl became very,The bed became very,"After it howled, the girl became very","After it fell, the bed became very","After it howled, the bed became very",3,ADJ
amplifier,person,chose,HIGH,psychological,The person began to,The amplifier began to,"After it chose, the person began to","After it fell, the amplifier began to","After it chose, the amplifier began to",0,VERB
oven,child,flushed,HIGH-MID,physical,The child began to,The oven began to,"After it flushed, the child began to","After it fell, the oven began to","After it flushed, the oven began to",0,VERB
button,child,wept,HIGH,physical,The child was very,The button was very,"After it wept, the child was very","After it fell, the button was very","After it wept, the button was very",2,ADJ
needle,man,screamed,HIGH-MID,physical,The man was very,The needle was very,"After it screamed, the man was very","After it fell, the needle was very","After it screamed, the needle was very",2,ADJ
fiddle,man,wailed,HIGH,physical,The man started to,The fiddle started to,"After it wailed, the man started to","After it fell, the fiddle started to","After it wailed, the fiddle started to",1,VERB
gown,boy,packed,HIGH-MID,physical,The boy became very,The gown became very,"After it packed, the boy became very","After it fell, the gown became very","After it packed, the gown became very",3,ADJ
saddle,man,commented,HIGH-MID,psychological,The man started to,The saddle started to,"After it commented, the man started to","After it fell, the saddle started to","After it commented, the saddle started to",1,VERB
knife,woman,scowled,HIGH,psychological,The woman began to,The knife began to,"After it scowled, the woman began to","After it fell, the knife began to","After it scowled, the knife began to",0,VERB
telescope,child,shuddered,HIGH-MID,physical,The child started to,The telescope started to,"After it shuddered, the child started to","After it fell, the telescope started to","After it shuddered, the telescope started to",1,VERB
sleigh,woman,stole,HIGH-MID,psychological,The woman began to,The sleigh began to,"After it stole, the woman began to","After it fell, the sleigh began to","After it stole, the sleigh began to",0,VERB
flower,man,panted,HIGH,physical,The man became very,The flower became very,"After it panted, the man became very","After it fell, the flower became very","After it panted, the flower became very",3,ADJ
bucket,person,emigrated,HIGH,psychological,The person started to,The bucket started to,"After it emigrated, the person started to","After it fell, the bucket started to","After it emigrated, the bucket started to",1,VERB
purse,man,swallowed,HIGH,physical,The man began to,The purse began to,"After it swallowed, the man began to","After it fell, the purse began to","After it swallowed, the purse began to",0,VERB
vase,child,commented,HIGH-MID,psychological,The child began to,The vase began to,"After it commented, the child began to","After it fell, the vase began to","After it commented, the vase began to",0,VERB
pearl,woman,moaned,HIGH,psychological,The woman became very,The pearl became very,"After it moaned, the woman became very","After it fell, the pearl became very","After it moaned, the pearl became very",3,ADJ
zipper,man,hissed,HIGH-MID,physical,The man became very,The zipper became very,"After it hissed, the man became very","After it fell, the zipper became very","After it hissed, the zipper became very",3,ADJ
pipe,man,exclaimed,HIGH,psychological,The man started to,The pipe started to,"After it exclaimed, the man started to","After it fell, the pipe started to","After it exclaimed, the pipe started to",1,VERB
tie,girl,screamed,HIGH-MID,physical,The girl became very,The tie became very,"After it screamed, the girl became very","After it fell, the tie became very","After it screamed, the tie became very",3,ADJ
candle,man,sneered,HIGH,psychological,The man began to,The candle began to,"After it sneered, the man began to","After it fell, the candle began to","After it sneered, the candle began to",0,VERB
oar,girl,pounced,HIGH-MID,physical,The girl started to,The oar started to,"After it pounced, the girl started to","After it fell, the oar started to","After it pounced, the oar started to",1,VERB
flute,woman,pounced,HIGH-MID,physical,The woman started to,The flute started to,"After it pounced, the woman started to","After it fell, the flute started to","After it pounced, the flute started to",1,VERB
stick,woman,breathed,HIGH,physical,The woman began to,The stick began to,"After it breathed, the woman began to","After it fell, the stick began to","After it breathed, the stick began to",0,VERB
ship,person,shivered,HIGH,physical,The person was very,The ship was very,"After it shivered, the person was very","After it fell, the ship was very","After it shivered, the ship was very",2,ADJ
pistol,woman,practised,HIGH-MID,psychological,The woman became very,The pistol became very,"After it practised, the woman became very","After it fell, the pistol became very","After it practised, the pistol became very",3,ADJ
cane,child,knew,HIGH,psychological,The child began to,The cane began to,"After it knew, the child began to","After it fell, the cane began to","After it knew, the cane began to",0,VERB
bench,man,howled,MID,physical,The man started to,The bench started to,"After it howled, the man started to","After it fell, the bench started to","After it howled, the bench started to",1,VERB
tire,boy,walked,HIGH,physical,The boy was very,The tire was very,"After it walked, the boy was very","After it fell, the tire was very","After it walked, the tire was very",2,ADJ
ferry,girl,sneered,HIGH,psychological,The girl was very,The ferry was very,"After it sneered, the girl was very","After it fell, the ferry was very","After it sneered, the ferry was very",2,ADJ
tub,boy,muttered,HIGH,physical,The boy became very,The tub became very,"After it muttered, the boy became very","After it fell, the tub became very","After it muttered, the tub became very",3,ADJ
desk,man,pounced,HIGH-MID,physical,The man was very,The desk was very,"After it pounced, the man was very","After it fell, the desk was very","After it pounced, the desk was very",2,ADJ
camera,person,sighed,HIGH,physical,The person was very,The camera was very,"After it sighed, the person was very","After it fell, the camera was very","After it sighed, the camera was very",2,ADJ
mallet,child,suspected,HIGH,psychological,The child began to,The mallet began to,"After it suspected, the child began to","After it fell, the mallet began to","After it suspected, the mallet began to",0,VERB
van,man,nodded,HIGH,physical,The man began to,The van began to,"After it nodded, the man began to","After it fell, the van began to","After it nodded, the van began to",0,VERB
clock,person,showered,HIGH-MID,physical,The person became very,The clock became very,"After it showered, the person became very","After it fell, the clock became very","After it showered, the clock became very",3,ADJ
arrow,person,spit,HIGH,physical,The person began to,The arrow began to,"After it spit, the person began to","After it fell, the arrow began to","After it spit, the arrow began to",0,VERB
instrument,man,crawled,HIGH-MID,physical,The man was very,The instrument was very,"After it crawled, the man was very","After it fell, the instrument was very","After it crawled, the instrument was very",2,ADJ
shield,child,cursed,HIGH,psychological,The child started to,The shield started to,"After it cursed, the child started to","After it fell, the shield started to","After it cursed, the shield started to",1,VERB
figure,woman,exclaimed,HIGH,psychological,The woman became very,The figure became very,"After it exclaimed, the woman became very","After it fell, the figure became very","After it exclaimed, the figure became very",3,ADJ
ski,girl,coughed,HIGH,physical,The girl began to,The ski began to,"After it coughed, the girl began to","After it fell, the ski began to","After it coughed, the ski began to",0,VERB
ambulance,person,emigrated,HIGH,psychological,The person became very,The ambulance became very,"After it emigrated, the person became very","After it fell, the ambulance became very","After it emigrated, the ambulance became very",3,ADJ
car,girl,cheated,HIGH,psychological,The girl was very,The car was very,"After it cheated, the girl was very","After it fell, the car was very","After it cheated, the car was very",2,ADJ
thread,man,crawled,HIGH-MID,physical,The man began to,The thread began to,"After it crawled, the man began to","After it fell, the thread began to","After it crawled, the thread began to",0,VERB
shawl,woman,shaved,HIGH,physical,The woman started to,The shawl started to,"After it shaved, the woman started to","After it fell, the shawl started to","After it shaved, the shawl started to",1,VERB
gun,child,breathed,HIGH,physical,The child started to,The gun started to,"After it breathed, the child started to","After it fell, the gun started to","After it breathed, the gun started to",1,VERB
wagon,woman,grieved,HIGH,psychological,The woman became very,The wagon became very,"After it grieved, the woman became very","After it fell, the wagon became very","After it grieved, the wagon became very",3,ADJ
uniform,man,confessed,HIGH,psychological,The man was very,The uniform was very,"After it confessed, the man was very","After it fell, the uniform was very","After it confessed, the uniform was very",2,ADJ
truck,child,hastened,HIGH-MID,psychological,The child was very,The truck was very,"After it hastened, the child was very","After it fell, the truck was very","After it hastened, the truck was very",2,ADJ
missile,woman,clapped,HIGH,physical,The woman became very,The missile became very,"After it clapped, the woman became very","After it fell, the missile became very","After it clapped, the missile became very",3,ADJ
meteorite,person,sat,HIGH,physical,The person began to,The meteorite began to,"After it sat, the person began to","After it fell, the meteorite began to","After it sat, the meteorite began to",0,VERB
ticket,child,spit,HIGH,physical,The child started to,The ticket started to,"After it spit, the child started to","After it fell, the ticket started to","After it spit, the ticket started to",1,VERB
refrigerator,man,swallowed,HIGH,physical,The man became very,The refrigerator became very,"After it swallowed, the man became very","After it fell, the refrigerator became very","After it swallowed, the refrigerator became very",3,ADJ
prune,child,read,HIGH,psychological,The child was very,The prune was very,"After it read, the child was very","After it fell, the prune was very","After it read, the prune was very",2,ADJ
tablespoon,boy,moaned,HIGH,psychological,The boy started to,The tablespoon started to,"After it moaned, the boy started to","After it fell, the tablespoon started to","After it moaned, the tablespoon started to",1,VERB
coin,child,understood,HIGH,psychological,The child became very,The coin became very,"After it understood, the child became very","After it fell, the coin became very","After it understood, the coin became very",3,ADJ
ferry,girl,murmured,HIGH,physical,The girl became very,The ferry became very,"After it murmured, the girl became very","After it fell, the ferry became very","After it murmured, the ferry became very",3,ADJ
truck,girl,groaned,HIGH,psychological,The girl became very,The truck became very,"After it groaned, the girl became very","After it fell, the truck became very","After it groaned, the truck became very",3,ADJ
shoe,child,evacuated,HIGH-MID,psychological,The child was very,The shoe was very,"After it evacuated, the child was very","After it fell, the shoe was very","After it evacuated, the shoe was very",2,ADJ
cane,woman,invested,MID,psychological,The woman began to,The cane began to,"After it invested, the woman began to","After it fell, the cane began to","After it invested, the cane began to",0,VERB
corpse,boy,enquired,HIGH,psychological,The boy was very,The corpse was very,"After it enquired, the boy was very","After it fell, the corpse was very","After it enquired, the corpse was very",2,ADJ
pants,boy,searched,HIGH-MID,psychological,The boy started to,The pants started to,"After it searched, the boy started to","After it fell, the pants started to","After it searched, the pants started to",1,VERB
desk,person,rushed,HIGH-MID,psychological,The person began to,The desk began to,"After it rushed, the person began to","After it fell, the desk began to","After it rushed, the desk began to",0,VERB
uniform,man,stumbled,HIGH,physical,The man began to,The uniform began to,"After it stumbled, the man began to","After it fell, the uniform began to","After it stumbled, the uniform began to",0,VERB
wallet,child,grunted,HIGH,physical,The child started to,The wallet started to,"After it grunted, the child started to","After it fell, the wallet started to","After it grunted, the wallet started to",1,VERB
mine,boy,coughed,HIGH,physical,The boy became very,The mine became very,"After it coughed, the boy became very","After it fell, the mine became very","After it coughed, the mine became very",3,ADJ
penny,woman,shaved,HIGH,physical,The woman was very,The penny was very,"After it shaved, the woman was very","After it fell, the penny was very","After it shaved, the penny was very",2,ADJ
ferry,girl,walked,HIGH,physical,The girl became very,The ferry became very,"After it walked, the girl became very","After it fell, the ferry became very","After it walked, the ferry became very",3,ADJ
sculpture,person,answered,HIGH,psychological,The person started to,The sculpture started to,"After it answered, the person started to","After it fell, the sculpture started to","After it answered, the sculpture started to",1,VERB
tablespoon,man,retorted,HIGH,psychological,The man began to,The tablespoon began to,"After it retorted, the man began to","After it fell, the tablespoon began to","After it retorted, the tablespoon began to",0,VERB
kilt,girl,meditated,HIGH,psychological,The girl started to,The kilt started to,"After it meditated, the girl started to","After it fell, the kilt started to","After it meditated, the kilt started to",1,VERB
